,tweet,coordinates,location,language
60,"RT @olex_scherba: To all those who say about #autocephaly “why didn’t #Ukraine wait?”, “why now?” - please understand:

For centuries we Uk…",,European Union: Frankfurt/Main,de
61,"мамуся і папуся, з новонародженим вас!)🎉
❤️❤️❤️ (Odessa, Ukraine): https://t.co/y8JQMdNMoN","{'type': 'Point', 'coordinates': [30.7104, 46.4507]}",,ru
62,Ukraine: new Orthodox church gains independence from Moscow https://t.co/nmKfeLlagU,,edge of the world,en
63,Suspect of murdering two Turkish girls in Ukraine caught in Turkey: Report https://t.co/8DBJkPvQK6 https://t.co/2bFDo9FlqC,,Istanbul,tr
64,"#Russia And #Ukraine On The Brink

""...it appears that things may be getting ready to take an even more dramatic tu… https://t.co/EU0qiv7Qi4",,"Washington, DC",en
65,RT @Lindalu827: Malware messages and phone calls: How Russian Special Ops won in Ukraine https://t.co/12JZlhj3QY via @thenewsrep,,United States,en
66,"Is it my eyes or what
Cuz d head rest looks like di*k🤣🤣",,Ikorodu,en
67,RT @Biz_Ukraine_Mag: Major victory for Ukraine and disastrous defeat for Russia - all made possible by Putin's self-defeating war https://t…,,"Punjab, India",en-gb
68,"RT @AlexKokcharov: History is made: #Ukraine’s Orthodox Church is becoming independent after 300+ years of #Russia|n control: 

  https://t…",,Kyiv,en
69,"RT @KatyaYushchenko: Ukrainian Orthodox Church in process of receiving autocephaly in Istanbul, a dream we have had for 333 years. Photo fr…",,Украина,uk
70,RT @GicAriana: The Tomos granting the Orthodox Church of Ukraine autocephaly has been signed by Ecumenical Patriarch Bartholomew of Constan…,,Україна,uk
71,RT @ChristopherJM: Tomos granting autocephaly for a Ukrainian Orthodox Church free of Russia’s signed in Istanbul. Tomorrow it’ll arrive in…,,"Punjab, India",en-gb
72,"RT @JuliaDavisNews: Ecumenical Patriarch signs decree granting #Ukraine church independence: “Huge win for Ukraine, defeat for the Kremlin.…",,"Manhattan, NY",en
73,"Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the O… https://t.co/6aJQ0o73nl",,Ottawa,en
74,"RT @BungeeWedgie: #Ukraine post office celebrates Waffen SS nazis.
https://t.co/p0HkS2dSZn",,Australia,en
75,Ukraine Orthodox church gains independence from Russia https://t.co/LUxQOJmbqw #bookmarkstoolbar #feedly,,"Burnley, Lancashire",en
76,"RT @need_history: @1300KWL @lrozen @aljakuns We will see, very fluent times at the ground with all the Jihadist infighting. Russia probably…",,Deutschland,de
77,RT @AP: The Ecumenical Patriarch of Constantinople signs a decree of independence for the Orthodox Church of Ukraine. https://t.co/Eph5FjFk…,,"Pennsylvania, USA",en
78,"RT @KyivPost: Defense Ministry: Russia prepares new armed provocations against Ukraine
  https://t.co/wNvJTvBxTB #Ukraine #Russia #defense…",,Paris,fr
79,"Tomos für die Orthodoxe Kirche der #Ukraine unterschrieben 

https://t.co/8AAjVbLSPL",,Germany/Ukraine,de
80,Nice.  Now what about those tanks on the border?,,"Economy, PA",en
81,i only remember where hungary is bc i'm in european history and it's in the acronym CASH CZECH AUSTRIA SLOVAKIA HUN… https://t.co/R3TpLuSLuP,,taegikook + namgi nation,en
82,"During the #war in the impoverished #corrupt #American colonial #Ukraine, the #bloody corrupt #Moldavian dictator… https://t.co/6O6Ozvc8a4",,Israel,ru
83,RT @Snowbirdsix1000: History is made!: Patriarch Bartholomew of Constantinople signs Tomos of Autocephaly for Orthodox Church of Ukraine |…,,Republic of Croatia,hr
84,"RT @PaulaChertok: Russia &amp; Ukraine watchers instantly recognized Trump was echoing the Kremlin. Russian propaganda views, language &amp; tactic…",,"Spokane, WA",en
85,RT @AP: The Ecumenical Patriarch of Constantinople signs a decree of independence for the Orthodox Church of Ukraine. https://t.co/Eph5FjFk…,,Republic of Croatia,hr
86,"RT @mhmck: Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the Orthodox Churc…",,"Budapest, Hungary",en
87,"RT @gerhard_mangott: Das Patriarchat von Konstantinopel erkennt eine unabhängige Ukrainisch-Orthodoxe Kirche an. Streit um Besitz, Verhöre…",,Ελλάς,el
88,RT @Orthodoxie_com: Signature du tomos d’autocéphalie de “l’Église orthodoxe d’Ukraine” https://t.co/9urVuK4u8E https://t.co/TBOOSC2vsf,,"Bucureşti, România",ro
89,Check out Alexander Murashko - new coin Ukraine  https://t.co/F5Be2Zqpyp с помощью @eBay,,https://mishareva.in.gallerix.ru/,ru
90,RT @ChristopherJM: The irony for the Kremlin is that Ukraine would likely not have been granted an independent Orthodox church without Puti…,,Montreal,en
91,"#Ukraine  #orthodoxchurch  splits from #RussianOrthodoxChurch .
#OrthodoxChristians 

Where no division is needed.",,🇮🇪 / 🇪🇺 / 🇵🇸 ,en
92,RT @EuromaidanPress: Ukrainian Orthodox Church head says Russian Orthodox Church will remain in Ukraine as many want it and he’s not agains…,,"New York, USA",ru
93,"RT @JuliaDavisNews: Ecumenical Patriarch signs decree granting #Ukraine church independence: “Huge win for Ukraine, defeat for the Kremlin.…",,Волинь,uk
94,Heightened Hearts from Ukraine with love! #HeightenedHeartsFoundation #Ukraine #ChrismasProgram #Lyubov_a_smirnova… https://t.co/pAVHrLqDfv,,"Miami, FL",en
95,RT @HDNER: Suspect of murdering two Turkish girls in Ukraine caught in Turkey: Report https://t.co/8DBJkPvQK6 https://t.co/2bFDo9FlqC,,Turkije,nl
96,Опубликован перевод текста подписанного Патриархом Варфоломеем Томоса о предоставлении автокефалии ПЦУ https://t.co/hePfGe7DfM,,"Kyiv, Ukraine",ru
97,"RT @asestritsyn: A truly historic day for #Ukraine. Four centuries after Russian annexation of the Ukrainian Church, it has finally been gr…",,Ireland and Ukraine,en
98,RT @muyiwag: Speaking undiluted truth! I like that line: ‘Am I foolish to that extent?’ https://t.co/wR1Hv47QmZ,,"Wan Chai District, Hong Kong",en
99,RT @muyiwag: Speaking undiluted truth! I like that line: ‘Am I foolish to that extent?’ https://t.co/wR1Hv47QmZ,,"Lagos, Nigeria",en
